ID	atp6	atp8	cob	cox1	cox2	cox3	nad1	nad2	nad3	nad4	nad4L	nad5	nad6
c_cheek	1	2	2	1	0	1	10	1	2	2	0	1	0
c_cheek	0	1	3	1	0	0	5	1	0	1	0	1	0
c_cheek	0	1	1	1	0	0	5	1	2	1	0	0	0
c_cheek	1	2	2	2	1	1	16	3	3	1	0	2	0
c_cheek	0	1	0	1	0	0	12	2	1	0	0	1	0
c_cheek	0	1	0	2	0	0	9	0	0	0	0	1	0
c_cheek	2	1	2	1	1	2	11	3	1	3	0	1	1
c_cheek	0	1	2	1	1	2	10	2	3	1	0	0	0
c_cheek	0	1	2	1	2	2	9	2	2	2	0	2	1
c_cheek	1	1	2	1	0	1	8	1	1	3	0	1	0
c_cheek	1	1	2	1	0	1	4	2	0	2	0	2	0
c_cheek	2	1	1	1	1	2	13	2	2	1	0	1	1
c_cheek	0	2	2	1	0	0	8	1	0	1	0	1	0
c_cheek	1	2	3	1	1	2	11	1	2	4	0	2	0
c_cheek	0	1	2	1	1	2	7	1	1	1	0	3	1
c_cheek	0	1	1	1	0	1	12	2	0	0	0	0	0
c_cheek	0	0	0	1	0	0	5	0	0	0	0	0	0
c_cheek	0	2	1	3	0	0	3	0	0	0	0	0	0
c_cheek	1	1	0	1	0	0	7	1	2	5	0	0	0
c_cheek	0	0	2	1	1	1	11	1	0	1	0	1	0
c_cheek	0	0	0	1	0	1	6	0	0	0	0	4	0
c_cheek	1	1	0	0	0	0	14	0	5	0	0	0	0
c_cheek	0	0	3	1	0	2	8	1	0	2	0	1	0
c_cheek	1	1	1	3	1	2	11	1	2	2	0	1	0
c_cheek	1	1	2	1	1	1	7	2	1	1	0	1	0
c_cheek	1	1	2	1	0	2	10	1	1	1	0	1	0
c_cheek	0	1	1	0	0	0	11	1	2	0	0	1	0
c_cheek	0	2	3	1	0	0	4	3	1	1	0	1	0
c_cheek	1	1	2	1	0	1	9	0	0	3	0	1	1
c_cheek	0	0	2	1	1	1	10	2	1	2	1	1	0
c_cheek	1	2	2	4	0	0	14	2	4	6	0	1	0
c_cheek	0	1	1	1	1	1	13	1	1	2	0	2	0
c_cheek	0	2	4	1	0	1	8	3	0	1	0	2	0
c_cheek	0	0	0	0	0	1	5	1	0	1	0	1	0
c_cheek	1	1	2	1	1	1	11	3	2	2	0	1	0
c_cheek	0	0	2	1	0	0	5	2	0	2	0	2	0
